source_x,mu_1,mu_2,td_1,td_2,I
2.7572726116582066e-05,5.908105,-3.079411,0.0,0.12572029440000002,0.5212180555355735
2.809549826333233e-05,5.881872,-3.045444,0.0,0.1277119872,0.517767812696366
2.862818204218827e-05,5.854978,-3.01132,0.0,0.1297453248,0.5143179017922869
2.91709653752716e-05,5.827412000000001,-2.977045,0.0,0.1318212576,0.5108691474019684
2.972403974766154e-05,5.7991660000000005,-2.9426259999999997,0.0,0.13394047679999999,0.5074222741683889
3.0287600274947607e-05,5.770233,-2.908069,0.0,0.1361040192,0.5039777423199374
3.0861845772063186e-05,5.740605,-2.87338,0.0,0.1383126624,0.5005360933211743
3.1446978823424186e-05,5.710277,-2.838567,0.0,0.14056718399999998,0.4970979516405246
3.2043205854397565e-05,5.679246,-2.8036369999999997,0.0,0.1428686208,0.4936635954843301
3.265073720412472e-05,5.647508,-2.768595,0.0,0.1452178368,0.4902330372971583
3.3269787199725763e-05,5.615063,-2.7334509999999996,0.0,0.14761578239999998,0.48680682656632696
3.3900574231910635e-05,5.581911,-2.698211,0.0,0.15006332160000002,0.48338481211900375
3.454332083202373e-05,5.5480540000000005,-2.6628819999999997,0.0,0.15256140480000002,0.47996684963772873
3.519825375054934e-05,5.513496,-2.6274740000000003,0.0,0.15511115520000002,0.47655317061987534
3.5865604037105486e-05,5.478242,-2.591992,0.0,0.1577134368,0.473143026540266
3.65456071219545e-05,5.4423,-2.5564459999999998,0.0,0.16036920000000002,0.46973632471565324
3.7238502899058976e-05,5.405678,-2.520843,0.0,0.163079568,0.466332437855159
3.7944535810712186e-05,5.368387,-2.4851919999999996,0.0,0.16584557760000002,0.4629308580025992
3.8663954933773765e-05,5.330439,-2.449502,0.0,0.16866826559999998,0.4595310067332165
3.939701406753961e-05,5.291848,-2.413779,0.0,0.17154875519999999,0.45613158201067
4.014397182327824e-05,5.25263,-2.378034,0.0,0.1744879968,0.452732059939497
4.090509171546462e-05,5.212802,-2.342274,0.0,0.1774872,0.44933108911483693
4.1680642254743706e-05,5.172384,-2.306509,0.0,0.180547488,0.44592764187655054
4.2470897042656686e-05,5.1313949999999995,-2.270747,0.0,0.18366998399999998,0.44252040624430594
4.3276134868163055e-05,5.089859,-2.2349959999999998,0.0,0.18685589760000001,0.43910764522160634
4.4096639805992826e-05,5.047798,-2.199266,0.0,0.19010635199999998,0.4356881951298368
4.4932701316863486e-05,5.005237999999999,-2.163565,0.0,0.1934226432,0.43226016425192976
4.57846143495969e-05,4.962205,-2.127902,0.0,0.19680589440000001,0.42882186447355564
4.665267944517254e-05,4.918725,-2.092287,0.0,0.200257488,0.42537181891648745
4.7537202842753366e-05,4.874828,-2.056727,0.0,0.20377863359999998,0.4219076037144285
4.843849658772201e-05,4.830543,-2.021231,0.0,0.20737054079999998,0.41842728653900824
4.9356878641765275e-05,4.785901,-1.985809,0.0,0.21103467839999998,0.4149289757560802
5.029267299504579e-05,4.740931,-1.950468,0.0,0.21477234239999998,0.4114103326962574
5.124620978050053e-05,4.695666,-1.9152189999999998,0.0,0.2185848288,0.4078695120138442
5.221782539030616e-05,4.650137,-1.880068,0.0,0.2224736064,0.4043037871787434
5.320786259455287e-05,4.6043769999999995,-1.845025,0.0,0.22643997120000003,0.40071110597590076
5.42166706621679e-05,4.558419000000001,-1.810097,0.0,0.2304855648,0.39708877134813625
5.5244605484132e-05,4.512295,-1.775294,0.0,0.23461168319999998,0.3934348264020858
5.629202969903191e-05,4.466038,-1.740623,0.0,0.23881996800000005,0.38974657179361216
5.7359312820993444e-05,4.4196800000000005,-1.706093,0.0,0.24311180159999998,0.38602183868515366
5.844683137003954e-05,4.373255,-1.6717110000000002,0.0,0.24748873919999997,0.38225783769755023
5.955496900492111e-05,4.326793,-1.637485,0.0,0.2519524224,0.3784523548965712
6.068411665846504e-05,4.280327,-1.603422,0.0,0.2565044928,0.3746026880656548
6.183467267548907e-05,4.233887,-1.569531,0.0,0.2611465056,0.3707068705423645
6.300704295333132e-05,4.187504,-1.5358180000000001,0.0,0.2658801888,0.36676215712271565
6.420164108504419e-05,4.141208,-1.50229,0.0,0.270707184,0.36276613007605507
6.541888850530323e-05,4.095028,-1.468955,0.0,0.2756292192,0.3587167169552931
6.665921463908244e-05,4.048991,-1.435819,0.0,0.2806481088,0.3546115563111896
6.792305705314839e-05,4.003125,-1.402889,0.0,0.28576558080000003,0.350448462138954
6.921086161042649e-05,3.9574559999999996,-1.3701709999999998,0.0,0.290983536,0.3462252012403928
7.052308262729426e-05,3.91201,-1.3376709999999998,0.0,0.2963037888,0.34193956559415745
