souce_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.1566833574855592e-05,6.566834,8.792357,-6.933027,-5.628682,0.0,0.0978175872,0.18343532160000006,0.23544345600000002
1.1688135449594422e-05,6.559088,8.811164999999997,-6.94717,-5.625614,0.0,0.09883494720000001,0.18378437760000002,0.2363243904
1.1809437324333253e-05,6.551364,8.830113,-6.961459,-5.622565,0.0,0.0998521344,0.18413472960000002,0.23720610239999998
1.1930739199072086e-05,6.543664,8.849203,-6.975894,-5.619535,0.0,0.100868976,0.1844862912,0.238088592
1.2052041073810915e-05,6.535988,8.868435,-6.990477,-5.616523,0.0,0.10188555839999999,0.18483906239999998,0.2389719456
1.2173342948549745e-05,6.528334,8.887814,-7.005211,-5.613529,0.0,0.1029017952,0.1851931296,0.2398560768
1.2294644823288575e-05,6.520703,8.90734,-7.020098,-5.610553,0.0,0.1039178592,0.18554849280000002,0.24074098559999998
1.2415946698027406e-05,6.513096,8.927016,-7.035139999999998,-5.607595,0.0,0.1049335776,0.185905152,0.2416267584
1.2537248572766236e-05,6.50551,8.946844,-7.050339,-5.604654,0.0,0.10594895039999999,0.1862630208,0.2425133088
1.2658550447505064e-05,6.497948,8.966826,-7.0656979999999985,-5.601731,0.0,0.106964064,0.18662209920000006,0.2434006368
1.2779852322243898e-05,6.490408,8.986964,-7.081219,-5.598824,0.0,0.1079789184,0.18698256,0.24428874239999998
1.2901154196982725e-05,6.48289,9.007261,-7.0969039999999985,-5.595935,0.0,0.1089934272,0.1873442304,0.24517762559999998
1.3022456071721558e-05,6.475395,9.027719,-7.112755,-5.593063,0.0,0.1100075904,0.1877071104,0.2460673728
1.3143757946460389e-05,6.467921,9.048341,-7.128775,-5.590207,0.0,0.1110214944,0.18807137280000003,0.2469578112
1.3265059821199215e-05,6.460469,9.069128,-7.1449669999999985,-5.587368,0.0,0.1120350528,0.1884369312,0.2478491136
1.3386361695938047e-05,6.4530400000000006,9.090084,-7.161333,-5.584544,0.0,0.11304835199999998,0.1888036992,0.2487411936
1.350766357067688e-05,6.445631,9.111211,-7.177876,-5.581737,0.0,0.1140613056,0.1891717632,0.2496340512
1.3628965445415711e-05,6.438244999999998,9.132512,-7.194599,-5.578946,0.0,0.1150739136,0.1895412096,0.2505276
1.3750267320154541e-05,6.43088,9.153989,-7.211502999999999,-5.576171,0.0,0.116086176,0.1899118656,0.25142201280000004
1.3871569194893368e-05,6.423536,9.175645,-7.228592,-5.573411,0.0,0.1170980928,0.19028381760000002,0.2523172032
1.3992871069632205e-05,6.416213,9.197482,-7.245869,-5.570667,0.0,0.118109664,0.190657152,0.25321317120000003
1.4114172944371027e-05,6.408911,9.219505,-7.263337,-5.567938,0.0,0.11912097599999999,0.19103169600000003,0.2541098304
1.4235474819109862e-05,6.401631,9.241715,-7.2809979999999985,-5.565224,0.0,0.120131856,0.19140762239999998,0.2550073536
1.4356776693848694e-05,6.394371,9.264115,-7.298855,-5.562525,0.0,0.1211423904,0.1917848448,0.255905568
