source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4,I_2,I_3,I_4
1.675757575757576e-05,6.066547,9.840365,-6.55585,9.840365,0.0,0.1642788864,0.2482593408,0.2482593408,1.6220701825931623,1.0806559316197502,1.6220701825931623
1.7363636363636363e-05,6.027735,9.961064,-6.596903999999999,9.961064,0.0,0.1702202688,0.252009792,0.252009792,1.6525384742361766,1.0944250203434622,1.6525384742361766
1.796969696969697e-05,5.989514,10.0851,-6.639928,10.0851,0.0,0.17616165120000002,0.2557881504,0.2557881504,1.6837927083900297,1.1085921161550003,1.6837927083900297
1.8575757575757576e-05,5.9518699999999995,10.21263,-6.684985,10.21263,0.0,0.18210303360000002,0.259594416,0.259594416,1.715869130206137,1.1231738932469963,1.715869130206137
1.9181818181818186e-05,5.914789,10.34378,-6.732144,10.34378,0.0,0.188044416,0.26342867519999996,0.26342867519999996,1.748799492255768,1.1381883614106945,1.748799492255768
1.978787878787879e-05,5.878259,10.47872,-6.781476,10.47872,0.0,0.1939857984,0.26729101439999997,0.26729101439999997,1.7826230521656157,1.1536538284549898,1.7826230521656157
2.0393939393939402e-05,5.842269,10.61762,-6.833060000000001,10.61762,0.0,0.1999270944,0.2711813472,0.2711813472,1.8173795147056735,1.1695901027494626,1.8173795147056735
2.1e-05,5.806806,10.76065,-6.886976,10.76065,0.0,0.2058684768,0.27509967360000004,0.27509967360000004,1.853109954078025,1.1860179244837867,1.853109954078025
2.1606060606060612e-05,5.771858,10.90799,-6.943314,10.90799,0.0,0.2118098592,0.2790461664,0.2790461664,1.8898576506906442,1.2029599480791107,1.8898576506906442
2.2212121212121212e-05,5.737415,11.05985,-7.002167,11.05985,0.0,0.2177512416,0.2830207392,0.2830207392,1.9276712596177896,1.2204393441994348,1.9276712596177896
2.2818181818181825e-05,5.7034650000000005,11.216439999999999,-7.0636339999999995,11.216439999999999,0.0,0.223692624,0.2870234784,0.2870234784,1.9666010048277667,1.2384811689034647,1.9666010048277667
2.3424242424242425e-05,5.669999,11.377989999999999,-7.127822999999999,11.377989999999999,0.0,0.2296340064,0.291054384,0.291054384,2.0067005302822802,1.2571118619244905,2.0067005302822802
2.403030303030303e-05,5.6370059999999995,11.54472,-7.1948490000000005,11.54472,0.0,0.2355753888,0.295113456,0.295113456,2.0480233655951405,1.2763600038743974,2.0480233655951405
2.463636363636364e-05,5.604475,11.7169,-7.264832000000001,11.7169,0.0,0.24151668480000002,0.2992008672,0.2992008672,2.090632931719742,1.2962555814773018,2.090632931719742
2.5242424242424248e-05,5.572398000000001,11.894789999999999,-7.337903999999999,11.894789999999999,0.0,0.24745806720000002,0.3033164448,0.3033164448,2.1345908888776424,1.3168305637895925,2.1345908888776424
2.584848484848485e-05,5.540764,12.07869,-7.414205,12.07869,0.0,0.2533994496,0.307460448,0.307460448,2.179968322058113,1.338119616717117,2.179968322058113
2.6454545454545458e-05,5.509566,12.26891,-7.493885000000001,12.26891,0.0,0.259340832,0.311632704,0.311632704,2.2268378307837677,1.360158858247637,2.2268378307837677
2.7060606060606064e-05,5.4787930000000005,12.46577,-7.577105,12.46577,0.0,0.2652822144,0.315833472,0.315833472,2.275276689592032,1.382988004839752,2.275276689592032
2.7666666666666667e-05,5.448437,12.66963,-7.664038000000001,12.66963,0.0,0.2712235968,0.3200625792,0.3200625792,2.3253696427067063,1.4066489160102247,2.3253696427067063
2.8272727272727277e-05,5.41849,12.88087,-7.7548710000000005,12.88087,0.0,0.2771649792,0.324320112,0.324320112,2.3772065649286054,1.4311867328351626,2.3772065649286054
2.8878787878787877e-05,5.388943,13.0999,-7.849802,13.0999,0.0,0.2831063616,0.3286062432,0.3286062432,2.4308848692591476,1.4566496620951455,2.4308848692591476
2.9484848484848494e-05,5.359789,13.327160000000001,-7.949047,13.327160000000001,0.0,0.2890476576,0.3329208864,0.3329208864,2.4865083308316804,1.4830895395322465,2.4865083308316804
3.0090909090909086e-05,5.33102,13.56311,-8.052839,13.56311,0.0,0.29498904000000004,0.337264128,0.337264128,2.5441866659663632,1.5105625189926133,2.5441866659663632
3.06969696969697e-05,5.3026279999999995,13.808279999999998,-8.161429,-8.161429,0.0,0.3009304224,0.34163596799999996,0.34163596799999996,2.6040446359804985,1.539129088444447,1.539129088444447
3.1303030303030296e-05,5.274605,14.06321,-8.275088,-8.275088,0.0,0.3068718048,0.34603649280000004,0.34603649280000004,2.6662110243326276,1.5688545398186216,1.5688545398186216
3.1909090909090906e-05,5.246946,14.328489999999999,-8.394109,-8.394109,0.0,0.3128131872,0.3504657888,0.3504657888,2.7308247502451897,1.5998085362418442,1.5998085362418442
3.251515151515152e-05,5.2196419999999994,14.604770000000002,-8.518811999999999,-8.518811999999999,0.0,0.3187545696,0.3549237696,0.3549237696,2.798040555271799,1.632068252956812,1.632068252956812
3.312121212121212e-05,5.192687,14.89274,-8.649541000000001,-8.649541000000001,0.0,0.324695952,0.359410608,0.359410608,2.868021893096965,1.665715842298987,1.665715842298987
3.372727272727273e-05,5.166074,15.19317,-8.786673,-8.786673,0.0,0.33063724799999994,0.3639263904,0.3639263904,2.9409509039165913,1.7008414900754423,1.7008414900754423
3.433333333333333e-05,5.139796,15.506879999999999,-8.930619,-8.930619,0.0,0.3365786304,0.36847094399999997,0.36847094399999997,3.0170224654830657,1.7375434744880927,1.7375434744880927
3.493939393939393e-05,5.113849,15.83477,-9.081823,-9.081823,0.0,0.3425200128,0.373044528,0.373044528,3.0964484872353486,1.775927095227098,1.775927095227098
