source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.008455955304916e-05,6.330862649794542e-06,6.566378,8.824038,-7.012994,-5.579883,0.0,0.0983988,0.1815607008,0.2384815392
1.5937635508739146e-05,7.811997728202706e-06,6.151253,10.0102,-7.75189,-5.613397,0.0,0.1550768544,0.210570192,0.2794773024
2.012464100148586e-05,7.399542622352595e-06,5.88023,0.0,0.0,-5.831376,0.0,0.0,0.0,0.303055344
3.0397638191375997e-05,9.05635697633881e-06,5.335649,0.0,0.0,-6.246921,0.0,0.0,0.0,0.378374112
2.1060391642615408e-05,3.50154322697164e-06,5.807978,10.88076,0.0,0.0,0.0,0.20613502079999999,0.0,0.0
2.51076779704738e-05,1.0931807936314974e-05,5.616114,0.0,0.0,-5.679056,0.0,0.0,0.0,0.351758592
9.045763963752557e-06,1.6566217043655943e-05,6.836692,9.419599,-8.701243,-4.754825,0.0,0.08582335776,0.1367376768,0.2859661152
8.831547829339991e-06,6.789672611949113e-06,6.671842,8.646555,-7.009143,-5.511402,0.0,0.0861147072,0.1725754464,0.23379624
1.3650229764523049e-05,2.4844731390331106e-05,6.649525,0.0,0.0,-4.282411,0.0,0.0,0.0,0.357939216
4.346223881530082e-06,1.1434414463667414e-05,0.0,0.0,-7.47574,-5.076529,0.0,0.0,0.1298619648,0.2336914368
3.2132074497784565e-06,2.1891816558607314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6384645956024683e-05,1.9680928368317183e-05,5.624153,0.0,0.0,-4.879752,0.0,0.0,0.0,0.40409807039999995
1.8327669656359308e-05,2.6187611268180934e-05,6.279341,0.0,0.0,-4.259764,0.0,0.0,0.0,0.3917696544
2.629359365460482e-05,2.6856955671809937e-06,5.519882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.596580889004639e-05,7.000531233594374e-06,6.143189,9.949274,-7.601088,-5.695354,0.0,0.1555811712,0.2139681312,0.2757161376
1.746245069943181e-05,1.1679898853930664e-05,6.085549,0.0,0.0,-5.30102,0.0,0.0,0.0,0.3077662176
6.875603539324176e-06,1.8255522889351772e-05,7.104351,9.141308,-8.822297,-4.622173,0.0,0.06478999488,0.118850976,0.28400604479999997
2.5698802541266505e-05,1.87147686615469e-05,5.652685,0.0,0.0,-4.94074,0.0,0.0,0.0,0.39469032
7.036376249392113e-06,1.938854154344044e-05,7.128166,0.0,0.0,-4.551268,0.0,0.0,0.0,0.2912800608
1.729676622519878e-05,1.1921038819429088e-05,6.099408,0.0,0.0,-5.274585,0.0,0.0,0.0,0.3079975104
2.203061657247731e-05,2.1118182623752594e-05,5.910305,0.0,0.0,-4.657708,0.0,0.0,0.0,0.3848708736
2.0532731720756915e-05,1.991499890954677e-05,5.991439,0.0,0.0,-4.712963,0.0,0.0,0.0,0.3693260448
2.650230210083976e-05,8.90815512490321e-06,5.529695,0.0,0.0,-6.001835,0.0,0.0,0.0,0.35130896640000003
1.4023007648967737e-05,2.912328999079455e-05,6.757997,0.0,0.0,-4.047029,0.0,0.0,0.0,0.3855627648
1.9628778963903024e-06,1.577571654810687e-05,0.0,0.0,-8.089196,-4.758679,0.0,0.0,0.1018421856,0.24535059839999998
1.580312702778425e-05,4.594093163569324e-08,6.128899,9.656749,0.0,0.0,0.0,0.154922112,0.0,0.0
1.2166494651638538e-05,2.2112726296191593e-05,6.70451,0.0,0.0,-4.430247,0.0,0.0,0.0,0.33400356480000004
5.379582602077609e-06,3.107693936405673e-06,6.934738,8.076537,0.0,0.0,0.0,0.052679194559999996,0.0,0.0
6.288371119439806e-06,6.061276987483819e-06,6.880231,8.255886,-6.806596,-5.531364,0.0,0.061386482879999996,0.1615648032,0.21647139840000001
3.014470089688608e-05,1.5053505207174062e-05,5.381758,0.0,0.0,-5.460978,0.0,0.0,0.0,0.4050637632
2.556703343160525e-05,1.0710219909259893e-06,5.555743,12.00853,0.0,0.0,0.0,0.2506009536,0.0,0.0
1.771339268377263e-05,2.8072405495001222e-05,6.37915,0.0,0.0,-4.142321,0.0,0.0,0.0,0.399391776
1.4237963635317491e-05,1.9124656116884377e-05,6.44517,0.0,0.0,-4.650934,0.0,0.0,0.0,0.3285253728
2.149337416934158e-05,1.9703948902826744e-05,5.924106,0.0,0.0,-4.750273,0.0,0.0,0.0,0.37395492480000003
2.9268076915918172e-05,7.329591028239961e-06,5.383394,0.0,0.0,-6.425136,0.0,0.0,0.0,0.3627648288
3.4317695140500983e-06,2.0421860061395437e-05,0.0,0.0,-9.002317,-4.468249,0.0,0.0,0.09359003519999999,0.2791718784
2.8246672389978836e-05,1.4583192376561313e-05,5.474959,0.0,0.0,-5.425855,0.0,0.0,0.0,0.3901353984
1.1541563355620305e-05,1.6011921504706573e-05,6.60055,0.0,0.0,-4.826248,0.0,0.0,0.0,0.29646527040000004
1.2933009519200632e-05,1.799012242179283e-05,6.527581,0.0,0.0,-4.708603,0.0,0.0,0.0,0.314974656
2.5711906233785617e-05,9.635420609076773e-06,5.575395,0.0,0.0,-5.863378,0.0,0.0,0.0,0.3495080448
2.131894398781335e-05,1.620628632084782e-05,5.887691,0.0,0.0,-5.02349,0.0,0.0,0.0,0.35434419840000003
2.7273043791280065e-05,1.7246851900467396e-05,5.549377,0.0,0.0,-5.12243,0.0,0.0,0.0,0.3971607552
1.612014258568522e-05,2.6684467341909892e-05,6.479293,0.0,0.0,-4.203115,0.0,0.0,0.0,0.3823142976
1.248699276419739e-05,1.6589381221082703e-05,6.533683,0.0,0.0,-4.799708,0.0,0.0,0.0,0.3048306048
6.650267781157811e-06,1.375805899950358e-05,6.98997,8.689724,-7.9539,-4.926081,0.0,0.06376775328,0.1334692512,0.2580065568
1.5556729189978295e-05,1.3178637890022137e-05,6.236656,0.0,0.0,-5.1205,0.0,0.0,0.0,0.3041879616
7.988415922917376e-07,1.7083399598514406e-05,0.0,0.0,-8.293933,-4.67073,0.0,0.0,0.0916376544,0.24710322240000002
1.387768511163063e-06,2.7749241702814455e-05,0.0,0.0,0.0,-4.056082,0.0,0.0,0.0,0.3143990592
2.8274289719117336e-05,1.3055251980907629e-05,5.462581,0.0,0.0,-5.595322,0.0,0.0,0.0,0.3828385728
4.073787170772475e-06,1.0372931657182504e-05,0.0,0.0,-7.313822,-5.154961,0.0,0.0,0.13251384,0.2267315712
1.1715080165491846e-05,2.4386832339330756e-05,6.822235,0.0,0.0,-4.289565,0.0,0.0,0.0,0.34484132160000003
9.439865447507005e-06,2.8072836692069508e-05,7.227777,0.0,0.0,-4.068203,0.0,0.0,0.0,0.3552551136
1.3049200650062217e-05,2.034268668783141e-05,6.575097,0.0,0.0,-4.552915,0.0,0.0,0.0,0.3287304864
2.9154978825166305e-05,1.0662739665870024e-05,5.403752,0.0,0.0,-5.936687,0.0,0.0,0.0,0.3773202048
9.185388191603427e-06,3.100145607172027e-06,6.614751,8.594483,0.0,0.0,0.0,0.089946288,0.0,0.0
5.460811906925913e-06,2.9008525277256286e-05,0.0,0.0,0.0,-4.000869,0.0,0.0,0.0,0.341466624
2.6764609474897268e-05,5.761834467483993e-06,5.503079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.175945728939288e-06,3.081907491274979e-05,0.0,0.0,0.0,-3.905296,0.0,0.0,0.0,0.3424073472
2.0249023763158452e-05,2.1113136339393763e-06,5.852605,10.61905,0.0,0.0,0.0,0.1983939264,0.0,0.0
2.7469135553886798e-05,1.2685790164575482e-05,5.50179,0.0,0.0,-5.59753,0.0,0.0,0.0,0.3757148928
4.320880178881681e-06,2.4173856412610266e-05,0.0,0.0,0.0,-4.253719,0.0,0.0,0.0,0.305922528
6.6363291810715355e-06,6.931441209146445e-07,6.816798,8.218111,0.0,0.0,0.0,0.06505408512000001,0.0,0.0
2.1566382909690425e-05,9.14763654440566e-06,5.805225,0.0,0.0,-5.706542,0.0,0.0,0.0,0.32047704
2.4504096024517766e-05,2.0704212425583092e-05,5.747672,0.0,0.0,-4.746808,0.0,0.0,0.0,0.39775501440000005
1.3620349380873077e-05,2.6452328446400594e-05,6.704481,0.0,0.0,-4.1897,0.0,0.0,0.0,0.367294608
2.549172475951426e-05,1.3021477524387953e-05,5.610256,0.0,0.0,-5.469545,0.0,0.0,0.0,0.3644409024
7.80712819253197e-06,8.489265688660815e-06,6.779342,8.562581,-7.196186,-5.347431,0.0,0.07589745792,0.1599914592,0.2366913312
