source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2.121212121212121e-05,-4.41537,8.142468,-9.066696,8.142468,3.095939e-06,1.151965e-19,8.615195e-07,0.0
2.1909090909090907e-05,-4.374573,8.194265,-9.210777,8.194265,3.144521e-06,3.388132e-21,8.366841e-07,0.0
2.2606060606060606e-05,-4.334385,8.248463,-9.359043,8.248463,3.193481e-06,0.0,8.122274e-07,5.082198e-21
2.33030303030303e-05,-4.294794,8.305149,-9.511677,8.305149,3.242819e-06,0.0,7.881488e-07,1.185846e-20
2.3999999999999997e-05,-4.255787,8.364415,-9.668877,8.364415,3.292534e-06,0.0,7.644479e-07,5.251604e-20
2.4696969696969696e-05,-4.21735,-9.83085,8.426357,8.426357,3.342627e-06,7.411242e-07,0.0,1.694066e-21
2.5393939393939392e-05,-4.179471,-9.997817,8.491079,8.491079,3.393097e-06,7.181771e-07,0.0,1.694066e-21
2.609090909090909e-05,-4.142138,-10.17001,8.558694,8.558694,3.443942e-06,6.956061e-07,1.975281e-18,0.0
2.6787878787878787e-05,-4.10534,-10.34769,8.629319,8.629319,3.495164e-06,6.734106e-07,0.0,2.749469e-18
2.7484848484848482e-05,-4.069064,-10.5311,8.703083,8.703083,3.54676e-06,6.515901e-07,0.0,0.0
2.818181818181818e-05,-4.033301,-10.72055,8.78012,8.78012,3.59873e-06,6.301441e-07,8.131516e-20,0.0
2.8878787878787877e-05,-3.998038,-10.91632,8.860577,8.860577,3.651075e-06,6.090718e-07,0.0,0.0
2.9575757575757572e-05,-3.963266,-11.11874,8.944609,8.944609,3.703792e-06,5.883728e-07,5.38713e-19,0.0
3.027272727272727e-05,-3.928975,-11.32816,9.032384,9.032384,3.756883e-06,5.680463e-07,5.099138e-19,0.0
3.0969696969696964e-05,-3.895154,-11.54495,9.124081,9.124081,3.810345e-06,5.480919e-07,9.656176e-20,0.0
3.166666666666666e-05,-3.861794,-11.76949,9.219894,9.219894,3.864178e-06,5.285087e-07,0.0,1.694066e-21
3.2363636363636355e-05,-3.828886,-12.00222,9.320029,9.320029,3.918383e-06,5.092963e-07,8.99549e-19,0.0
3.306060606060606e-05,-3.79642,-12.24359,9.424711,9.424711,3.972957e-06,4.904538e-07,0.0,0.0
3.375757575757575e-05,9.534179,9.534179,-3.764388,-12.4941,0.0,3.997996e-19,4.0279e-06,4.719807e-07
3.445454545454545e-05,9.648693,9.648693,-3.732781,-12.75426,0.0,8.470329e-20,4.083213e-06,4.538763e-07
3.5151515151515144e-05,9.768535,9.768535,-3.70159,-13.02465,0.0,1.524659e-20,4.138893e-06,4.361398e-07
3.584848484848484e-05,9.894008,9.894008,-3.670808,-13.30588,2.100642e-19,0.0,4.19494e-06,4.187705e-07
