source_x,mu_1,mu_2,td_1,td_2,I
3.182150226752021e-05,3.992839,-14.79415,0.0,0.1397383488,3.705170681813116
3.194326238982979e-05,3.986714,-14.768820000000002,0.0,0.1402536384,3.7045095283985763
3.206548840866627e-05,3.9805910000000004,-14.740870000000001,0.0,0.1407711744,3.703186285654567
3.218818210671146e-05,3.9744699999999997,-14.710339999999999,0.0,0.1412910432,3.7012079598034453
3.231134527346864e-05,3.96835,-14.67725,0.0,0.1418131584,3.6985774944246352
3.2434979705288034e-05,3.9622330000000003,-14.641620000000001,0.0,0.14233752000000002,3.6952950520577663
3.2559087205393654e-05,3.956117,-14.6035,0.0,0.1428642144,3.691372120693094
3.268366958390893e-05,3.9500029999999997,-14.562920000000002,0.0,0.1433932416,3.6868123897627427
3.280872865788379e-05,3.9438910000000003,-14.519910000000001,0.0,0.1439245152,3.6816205113173766
3.293426625132051e-05,3.9377809999999998,-14.47453,0.0,0.14445812160000002,3.675808786725316
3.306028419520094e-05,3.9316730000000004,-14.426820000000001,0.0,0.14499406080000002,3.669384508833771
3.31867843275126e-05,3.925567,-14.376829999999998,0.0,0.14553224639999998,3.662357565161924
3.331376849327609e-05,3.919463,-14.324620000000001,0.0,0.14607276479999998,3.654740458067853
3.344123854457139e-05,3.913361,-14.270229999999998,0.0,0.14661561600000003,3.646540659039633
3.356919634056542e-05,3.9072620000000002,-14.21374,0.0,0.1471608864,3.6377749943566617
3.3697643747538904e-05,3.901165,-14.15519,0.0,0.1477084032,3.628452013693345
3.38265826389134e-05,3.8950699999999996,-14.09465,0.0,0.14825825280000002,3.618587085726316
3.395601489527911e-05,3.8889769999999997,-14.03219,0.0,0.1488104352,3.6081956771665147
3.408594240442173e-05,3.882887,-13.967870000000001,0.0,0.14936503680000002,3.5972898515975356
3.4216367061350565e-05,3.8767989999999997,-13.901760000000001,0.0,0.14992188480000002,3.5858861911592532
3.4347290768325645e-05,3.870713,-13.83392,0.0,0.150481152,3.5739978655095332
3.447871543488595e-05,3.8646309999999997,-13.764429999999999,0.0,0.1510428384,3.5616414607241933
3.4610642977876714e-05,3.85855,-13.69335,0.0,0.1516067712,3.548833110883622
3.474307532147801e-05,3.852472,-13.62076,0.0,0.1521732096,3.535589616225634
3.487601439723221e-05,3.846397,-13.54672,0.0,0.1527418944,3.5219245439303326
3.5009462144072695e-05,3.840325,-13.47131,0.0,0.15331308479999997,3.507856756915105
3.514342050835161e-05,3.834255,-13.394589999999999,0.0,0.153886608,3.4934009344709724
3.527789144386882e-05,3.828188,-13.31664,0.0,0.154462464,3.478575242386215
3.541287691189978e-05,3.8221239999999996,-13.23753,0.0,0.15504082560000002,3.4633962686715556
3.55483788812248e-05,3.816062,-13.15732,0.0,0.15562152,3.447878991483891
3.56843993281571e-05,3.810004,-13.076080000000001,0.0,0.15620472,3.4320383915607438
3.5820940236572207e-05,3.803948,-12.993889999999999,0.0,0.1567902528,3.4158958008889706
3.595800359793661e-05,3.7978959999999997,-12.910810000000001,0.0,0.1573782048,3.399463808382326
3.609559141133667e-05,3.791846,-12.8269,0.0,0.1579686624,3.3827586879846914
3.623370568350821e-05,3.785799,-12.742230000000001,0.0,0.15856145279999997,3.365796757831042
3.637234842886522e-05,3.779756,-12.65685,0.0,0.1591567488,3.348589168189693
3.651152166952985e-05,3.7737160000000003,-12.57085,0.0,0.15975446399999998,3.3311595255180833
3.66512274353613e-05,3.767678,-12.48426,0.0,0.1603546848,3.313515645445285
3.679146776398599e-05,3.7616440000000004,-12.397160000000001,0.0,0.16095732480000002,3.295676039518891
3.693224470082672e-05,3.755614,-12.3096,0.0,0.16156238400000003,3.2776531347470748
3.70735602991331e-05,3.749586,-12.221639999999999,0.0,0.1621700352,3.2594638448084665
3.721541662001087e-05,3.7435620000000003,-12.13332,0.0,0.16278010559999997,3.241116348547185
3.73578157324526e-05,3.737542,-12.04471,0.0,0.1633925952,3.2226286687882038
3.750075971336719e-05,3.731524,-11.95585,0.0,0.1640076768,3.2040126232606303
3.764425064761088e-05,3.725511,-11.8668,0.0,0.1646251776,3.1852811600878375
3.7788290628016964e-05,3.7195,-11.77759,0.0,0.1652452704,3.166444414571851
3.793288175542695e-05,3.7134940000000003,-11.68827,0.0,0.16586778239999997,3.1475128275419317
3.8078026138720566e-05,3.7074910000000005,-11.5989,0.0,0.16649288639999998,3.128503885781516
3.8223725894847184e-05,3.7014910000000003,-11.50951,0.0,0.167120496,3.1094253639952116
3.836998314885606e-05,3.6954949999999998,-11.42014,0.0,0.16775061119999998,3.0902869574982517
3.851680003392782e-05,3.6895029999999998,-11.33082,0.0,0.1683833184,3.071096567749098
