source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.4173066475245033e-05,3.436258346031349e-05,6.952668,0.0,0.0,-3.784361,0.0,0.0,0.0,0.41902427519999996
2.5948431112892814e-05,1.9462595212408804e-05,5.646734,0.0,0.0,-4.885284,0.0,0.0,0.0,0.4001902848
4.0050706731751406e-05,1.238407314804022e-06,4.907525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.07275780415665e-06,3.8360689185325615e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4021680016744883e-05,1.1614245535179766e-05,6.327155,0.0,0.0,-5.212791,0.0,0.0,0.0,0.28724293440000004
1.4739029647756696e-05,5.589851406275786e-06,6.217384,9.607651,0.0,0.0,0.0,0.1439462016,0.0,0.0
7.2918567841878e-06,1.323776172599359e-05,6.915959,8.76165,-7.907731,-4.970405,0.0,0.07003288512,0.1388930112,0.2585906208
3.167219809603803e-06,3.799793973802791e-05,0.0,0.0,0.0,-3.580336,0.0,0.0,0.0,0.3908259936
3.752547281584163e-05,5.452600091441844e-06,5.011535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.553892795077425e-06,9.825205240877931e-06,7.004734,8.29074,-7.286213,-5.210384,0.0,0.05384293344,0.1424526912,0.2315431008
2.848024277931188e-06,3.973825039140654e-05,0.0,0.0,0.0,-3.507614,0.0,0.0,0.0,0.40169874240000003
2.854297598391919e-05,1.787591386272572e-05,5.486903,0.0,0.0,-5.108801,0.0,0.0,0.0,0.408610656
1.6364111305980272e-05,2.6202195128405147e-05,6.44429,0.0,0.0,-4.233939,0.0,0.0,0.0,0.38082510719999996
5.216761318083914e-06,2.043113947673119e-05,0.0,0.0,-9.131582,-4.475383,0.0,0.0,0.10276329599999999,0.2880609696
3.675407226852723e-05,8.633050456586771e-06,5.050667,0.0,0.0,-6.887324,0.0,0.0,0.0,0.42173040959999997
2.692239239377249e-06,4.840932299290906e-05,0.0,0.0,0.0,-3.17869,0.0,0.0,0.0,0.46480426560000004
1.8230042244399134e-05,2.405045904644387e-05,6.237168,0.0,0.0,-4.389688,0.0,0.0,0.0,0.3788889696
1.4605322644845159e-05,1.9525406361093382e-05,6.424181,0.0,0.0,-4.629477,0.0,0.0,0.0,0.3328118496
2.8176238393567703e-05,4.143595798653667e-06,5.427702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.638202623775547e-05,4.5976757166085276e-06,4.680805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38915253223698e-06,1.2130004938120194e-05,6.975029,8.537626,-7.670798,-5.042552,0.0,0.06157181952,0.1380997728,0.24795106560000002
1.1902685818798257e-05,3.720197050377265e-05,7.391323,0.0,0.0,-3.641075,0.0,0.0,0.0,0.4259304864
1.035062106089757e-07,6.382695864918696e-05,0.0,0.0,0.0,-2.698704,0.0,0.0,0.0,0.5824255968
1.5060872332226175e-05,2.766486171340428e-05,6.605992,0.0,0.0,-4.136194,0.0,0.0,0.0,0.382337712
5.478531702946198e-06,9.182083055746482e-07,6.917349,8.070303,0.0,0.0,0.0,0.05370230016,0.0,0.0
1.533356418308768e-06,5.5892495733316084e-05,0.0,0.0,0.0,-2.930889,0.0,0.0,0.0,0.5195937888
1.2083659557309121e-05,1.0955722439707723e-05,6.464983,9.474689,-7.918363,-5.223381,0.0,0.11677150080000001,0.1748893248,0.2728276992
1.0996126942911298e-05,3.7713336481718596e-05,7.558271,0.0,0.0,-3.614437,0.0,0.0,0.0,0.4248686304
3.622098625652382e-05,3.360829987552606e-06,5.061998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.833019044792914e-06,2.6651125366040526e-05,0.0,0.0,0.0,-4.117734,0.0,0.0,0.0,0.3188489184
6.759071735725695e-06,4.720496889506724e-05,0.0,0.0,0.0,-3.226183,0.0,0.0,0.0,0.47197296
2.1564465795625956e-05,1.4486765297057413e-05,5.852445,0.0,0.0,-5.179755,0.0,0.0,0.0,0.34697721600000003
4.260210134894968e-05,1.4374442522826826e-07,4.811776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6511665892620888e-05,3.7349510447882943e-06,6.089355,9.868772,0.0,0.0,0.0,0.1615919328,0.0,0.0
2.1591523757455287e-05,6.847896079083487e-06,5.790077,0.0,0.0,-5.971093,0.0,0.0,0.0,0.3097062432
3.1907302556957215e-05,9.893666129959066e-06,5.268074,0.0,0.0,-6.232917,0.0,0.0,0.0,0.3926663136
2.1704434350533914e-05,2.297022267916601e-06,5.768176,10.98059,0.0,0.0,0.0,0.2126287584,0.0,0.0
1.828718319093541e-05,1.0753001834338862e-05,6.021472,0.0,0.0,-5.412683,0.0,0.0,0.0,0.3080768256
2.8481834720975707e-05,1.2513490846739336e-05,5.448391,0.0,0.0,-5.668521,0.0,0.0,0.0,0.38160020159999997
2.381559255503857e-05,1.2585321870438116e-06,5.64916,11.50317,0.0,0.0,0.0,0.23342117760000003,0.0,0.0
6.376480694799589e-06,3.2023176006128124e-05,7.908719,0.0,0.0,-3.855775,0.0,0.0,0.0,0.3651939648
7.471396260242403e-08,4.404403412868909e-05,0.0,0.0,0.0,-3.336922,0.0,0.0,0.0,0.42202226880000004
1.4807176911107845e-06,2.67293956942073e-05,0.0,0.0,-10.36374,-4.109182,0.0,0.0,0.06514599743999999,0.3083403456
3.8314311635294704e-05,9.748458764232136e-06,4.989997,0.0,0.0,-6.818458,0.0,0.0,0.0,0.43803694079999994
3.0428343400589866e-05,7.312270814800726e-07,5.31529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.549368611958752e-06,1.484696650695021e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
